county_fips,CountyName,State,total_population,weighted_low_access,weighted_low_income_access
01001,Autauga,AL,4874.0,53.26,11.65
01003,Baldwin,AL,3724.0,44.2,10.3
01005,Barbour,AL,12959.0,21.93,6.24
01011,Bullock,AL,3523.0,61.96,20.86
01013,Butler,AL,1693.0,42.7,10.9
01015,Calhoun,AL,2777.0,50.5,14.6
01017,Chambers,AL,1455.0,59.3,11.9
01023,Choctaw,AL,3883.0,73.8,23.5
01025,Clarke,AL,9236.0,21.02,6.55
01033,Colbert,AL,3779.0,17.4,1.9
01035,Conecuh,AL,8505.0,25.13,7.36
01039,Covington,AL,1666.0,40.2,5.7
01041,Crenshaw,AL,5134.0,62.41,16.32
01045,Dale,AL,5085.0,34.99,7.71
01047,Dallas,AL,8761.0,62.16,24.82
01053,Escambia,AL,11059.0,18.63,5.4
01055,Etowah,AL,9266.0,49.61,11.38
01063,Greene,AL,5023.0,55.55,16.39
01073,Jefferson,AL,159340.0,67.96,19.93
01077,Lauderdale,AL,10836.0,26.86,6.01
01081,Lee,AL,24429.0,69.92,32.47
01083,Limestone,AL,5031.0,52.24,12.62
01085,Lowndes,AL,9884.0,23.91,5.82
01087,Macon,AL,10073.0,51.37,19.65
01089,Madison,AL,47731.0,62.79,15.14
01091,Marengo,AL,4684.0,56.43,17.14
01097,Mobile,AL,39448.0,71.91,26.83
01099,Monroe,AL,3716.0,94.57,26.64
01101,Montgomery,AL,46967.0,58.89,19.37
01103,Morgan,AL,8884.0,38.0,10.6
01105,Perry,AL,1334.0,35.1,7.2
01107,Pickens,AL,6156.0,8.8,2.1
01113,Russell,AL,12513.0,50.86,12.32
01119,Sumter,AL,1920.0,99.71,40.26
01125,Tuscaloosa,AL,11933.0,32.69,10.67
01131,Wilcox,AL,8044.0,71.27,29.6
04001,Apache,AZ,58500.0,67.33,30.12
04003,Cochise,AZ,51562.0,54.23,10.21
04005,Coconino,AZ,32525.0,59.04,19.24
04007,Gila,AZ,8852.0,81.25,32.0
04009,Graham,AZ,8485.0,61.23,27.94
04012,La Paz,AZ,11722.0,70.58,13.82
04013,Maricopa,AZ,226119.0,57.24,16.49
04015,Mohave,AZ,53670.0,58.31,11.74
04017,Navajo,AZ,35013.0,72.82,34.23
04019,Pima,AZ,108744.0,57.9,16.42
04021,Pinal,AZ,40823.0,39.01,5.63
04023,Santa Cruz,AZ,3645.0,16.3,4.3
04025,Yavapai,AZ,22414.0,66.53,9.28
04027,Yuma,AZ,38557.0,42.79,10.61
05003,Ashley,AR,4649.0,68.91,17.59
05007,Benton,AR,3490.0,15.7,3.3
05011,Bradley,AR,3465.0,23.7,7.6
05015,Carroll,AR,7189.0,13.1,2.0
05035,Crittenden,AR,7634.0,14.54,5.83
05039,Dallas,AR,5309.0,48.0,11.0
05041,Desha,AR,2122.0,73.6,20.1
05049,Fulton,AR,5779.0,22.9,3.8
05051,Garland,AR,5000.0,76.4,19.98
05057,Hempstead,AR,3093.0,44.5,9.7
05059,Hot Spring,AR,3302.0,17.4,4.1
05061,Howard,AR,4866.0,10.4,1.6
05069,Jefferson,AR,3440.0,19.7,3.1
05073,Lafayette,AR,3122.0,50.5,14.3
05075,Lawrence,AR,1992.0,26.4,5.9
05077,Lee,AR,7297.0,50.64,15.29
05079,Lincoln,AR,4443.0,66.5,10.5
05085,Lonoke,AR,1445.0,45.7,8.1
05087,Madison,AR,3271.0,59.3,12.9
05091,Miller,AR,3134.0,48.4,15.5
05093,Mississippi,AR,7589.0,33.3,12.7
05095,Monroe,AR,2960.0,34.5,9.3
05099,Nevada,AR,1794.0,66.9,13.2
05101,Newton,AR,4565.0,41.0,9.6
05103,Ouachita,AR,6713.0,21.6,5.05
05107,Phillips,AR,9639.0,64.21,20.44
05109,Pike,AR,2480.0,44.1,8.8
05111,Poinsett,AR,2808.0,84.4,29.1
05113,Polk,AR,7296.0,79.73,17.91
05115,Pope,AR,4381.0,13.9,3.0
05119,Pulaski,AR,48566.0,51.99,13.26
05123,St. Francis,AR,12012.0,60.72,21.65
05127,Scott,AR,6374.0,37.42,7.67
05129,Searcy,AR,4778.0,52.37,12.68
05131,Sebastian,AR,8109.0,33.86,9.35
05133,Sevier,AR,5792.0,15.7,4.0
05137,Stone,AR,11499.0,20.69,4.17
05139,Union,AR,9868.0,52.66,17.27
05141,Van Buren,AR,6945.0,23.97,4.62
05143,Washington,AR,15565.0,41.16,14.39
05145,White,AR,3494.0,17.8,3.1
05147,Woodruff,AR,5438.0,10.9,2.7
05149,Yell,AR,7922.0,22.22,3.78
06001,Alameda,CA,19160.0,84.64,14.5
06007,Butte,CA,30502.0,22.69,3.16
06011,Colusa,CA,7040.0,75.98,10.21
06013,Contra Costa,CA,61755.0,59.28,8.7
06015,Del Norte,CA,20915.0,62.53,12.74
06017,El Dorado,CA,5805.0,81.8,9.9
06019,Fresno,CA,73693.0,37.79,13.65
06021,Glenn,CA,23208.0,42.78,7.59
06023,Humboldt,CA,22760.0,37.77,8.34
06025,Imperial,CA,29217.0,63.0,12.14
06029,Kern,CA,57386.0,46.87,10.96
06031,Kings,CA,13528.0,28.98,7.41
06033,Lake,CA,12306.0,18.49,4.65
06035,Lassen,CA,8332.0,94.2,16.6
06037,Los Angeles,CA,137910.0,59.15,12.94
06039,Madera,CA,14707.0,43.77,13.41
06041,Marin,CA,26771.0,68.03,2.98
06043,Mariposa,CA,2265.0,39.1,8.2
06045,Mendocino,CA,7169.0,60.53,10.56
06047,Merced,CA,27127.0,53.37,10.94
06049,Modoc,CA,3266.0,69.44,14.42
06053,Monterey,CA,13699.0,95.97,23.97
06057,Nevada,CA,20041.0,22.61,2.38
06059,Orange,CA,56798.0,18.98,2.73
06061,Placer,CA,3034.0,59.3,12.3
06063,Plumas,CA,2929.0,21.3,2.8
06065,Riverside,CA,173059.0,52.72,9.49
06067,Sacramento,CA,100699.0,51.31,15.12
06071,San Bernardino,CA,324009.0,47.94,10.2
06073,San Diego,CA,142811.0,53.45,6.09
06075,San Francisco,CA,30022.0,92.75,15.15
06077,San Joaquin,CA,37454.0,42.76,10.7
06079,San Luis Obispo,CA,12927.0,36.5,3.19
06081,San Mateo,CA,42502.0,90.67,13.85
06083,Santa Barbara,CA,29032.0,77.86,21.64
06085,Santa Clara,CA,29766.0,76.72,9.43
06087,Santa Cruz,CA,27095.0,56.74,7.08
06089,Shasta,CA,48305.0,46.05,8.82
06093,Siskiyou,CA,8839.0,59.56,11.53
06095,Solano,CA,21910.0,60.63,8.37
06097,Sonoma,CA,7939.0,33.1,5.5
06099,Stanislaus,CA,33977.0,58.06,15.36
06101,Sutter,CA,10299.0,31.52,7.25
06103,Tehama,CA,25754.0,27.99,5.01
06105,Trinity,CA,10175.0,29.16,5.56
06107,Tulare,CA,75850.0,25.75,6.72
06109,Tuolumne,CA,7596.0,97.0,13.9
06111,Ventura,CA,47348.0,55.07,10.86
06113,Yolo,CA,12467.0,32.55,7.15
06115,Yuba,CA,9090.0,100.0,19.79
08001,Adams,CO,59872.0,61.6,5.79
08003,Alamosa,CO,6810.0,18.5,4.6
08005,Arapahoe,CO,12751.0,69.3,8.2
08007,Archuleta,CO,1123.0,67.6,8.1
08009,Baca,CO,2289.0,99.5,17.8
08011,Bent,CO,5998.0,16.0,3.1
08013,Boulder,CO,11124.0,31.53,3.89
08017,Cheyenne,CO,2231.0,33.6,4.4
08021,Conejos,CO,586.0,50.4,13.9
08023,Costilla,CO,3663.0,100.0,26.77
08025,Crowley,CO,5518.0,62.8,12.8
08027,Custer,CO,3503.0,31.4,4.0
08031,Denver,CO,82588.0,65.99,14.43
08039,Elbert,CO,1880.0,91.7,9.8
08041,El Paso,CO,69552.0,65.96,8.99
08043,Fremont,CO,10280.0,64.79,6.31
08053,Hinsdale,CO,790.0,100.0,7.2
08055,Huerfano,CO,3441.0,74.5,11.51
08059,Jefferson,CO,34260.0,32.81,4.23
08061,Kiowa,CO,1622.0,100.0,12.2
08063,Kit Carson,CO,8011.0,52.5,5.83
08069,Larimer,CO,8815.0,58.65,7.48
08071,Las Animas,CO,7225.0,46.18,7.56
08073,Lincoln,CO,2369.0,53.0,7.9
08075,Logan,CO,13385.0,50.07,5.78
08077,Mesa,CO,43536.0,63.84,7.48
08079,Mineral,CO,831.0,96.9,9.9
08081,Moffat,CO,849.0,100.0,16.5
08083,Montezuma,CO,7697.0,49.87,12.42
08085,Montrose,CO,11743.0,35.59,6.56
08087,Morgan,CO,5732.0,30.0,2.5
08089,Otero,CO,5437.0,17.0,4.0
08093,Park,CO,1828.0,87.5,12.1
08095,Phillips,CO,1519.0,92.7,9.3
08099,Prowers,CO,8433.0,48.71,10.19
08101,Pueblo,CO,29799.0,73.01,14.25
08105,Rio Grande,CO,5761.0,30.9,4.2
08109,Saguache,CO,5917.0,97.38,22.07
08111,San Juan,CO,558.0,99.4,20.8
08115,Sedgwick,CO,2747.0,19.1,2.1
08121,Washington,CO,2212.0,93.5,12.9
08123,Weld,CO,19292.0,36.4,6.72
08125,Yuma,CO,9841.0,25.34,3.13
09001,Fairfield,CT,40598.0,67.11,12.8
09003,Hartford,CT,60714.0,55.48,6.03
09005,Litchfield,CT,2426.0,22.0,2.7
09009,New Haven,CT,99993.0,43.24,5.51
09011,New London,CT,24211.0,56.61,6.47
09013,Tolland,CT,10776.0,67.36,8.64
09015,Windham,CT,5886.0,46.7,4.2
