commName,state,fold,population,racepctblack,racePctWhite,racePctAsian,racePctHisp,pctUrban,medIncome,pctWFarmSelf,pctWInvInc,pctWPubAsst,pctWRetire,perCapInc,PctPopUnderPov,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,FemalePctDiv,PctFam2Par,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,PctImmigRec10,PctRecImmig5,PctRecImmig8,PctNotSpeakEnglWell,PctLargHouseFam,PersPerOccupHous,PersPerRentOccHous,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccMedVal,OwnOccQrange,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,larcPerPop,pctMinority,PctLarcPerPop,PctSingleParent,CommTransience,PctVacant,TotalHomeless,PctUnhoused
Berkeley Heights,NJ,1,11980,1.37,91.78,6.5,1.88,100,75122,1.55,70.2,1.03,18.39,29711,1.96,9.9,48.18,2.7,64.55,14.65,28.82,5.49,5.22,91.43,58.88,31,0.36,30.93,1.39,2.24,1.37,4.81,2.99,2.84,0.39,11.06,3,64,98.37,3.12,37.5,1959,0,0.28,262600,111000,316,1001,23.8,21.1,14,11,0,10.66,53.72,65.29,78.09,89.14,6.5,1845.9,9.63,1132.08,8.219999999999999,9.449749582637729,8.569999999999993,34.3,1.6299999999999955,11,0.09
Marple Township,PA,1,23123,0.8,95.57,3.44,0.85,100,47917,1.11,64.11,2.75,22.85,20148,3.98,13.72,29.89,2.43,61.96,12.26,29.28,6.39,6.45,86.91,62.43,43,0.24,22.5,0.72,1.11,1.81,4.25,2.7,1.96,1.01,23.6,3,240,97.15,0,18.33,1958,0.31,0.14,164200,63600,205,627,27.6,20.7,12.5,0,0,8.3,77.17,71.27,90.22,96.12,10.6,2186.7,3.84,1598.78,4.430000000000007,6.914241231674091,13.090000000000003,20.45,2.8499999999999943,0,0
Tigard,OR,1,29344,0.74,94.33,3.43,2.35,100,35669,1.15,55.73,2.94,14.56,16946,4.75,9.09,30.13,4.01,69.8,15.95,21.52,8.79,14.76,78.54,74.19,164,0.88,35.63,1.2,1.61,1.14,2.97,2.42,2.06,2.03,47.46,3,544,95.68,0.92,7.54,1976,1.55,0.12,90400,37300,150,484,24.1,21.7,11.6,16,0,5,44.77,36.6,61.26,82.85,10.6,2780.9,4.37,4972.19,5.670000000000002,16.944486095965104,21.459999999999994,52.46,4.319999999999993,16,0.05
Gloversville,NY,1,16656,1.7,97.35,0.5,0.7,0,20580,0.24,38.95,11.71,18.33,10810,17.23,33.68,10.81,9.86,54.74,31.22,27.43,26.76,14.47,64.02,70.27,561,3.84,15.34,0.28,0.31,0.56,3.93,2.37,2.2,1.21,45.66,3,669,91.19,2.54,57.85,1939,7,0.87,49600,30100,114,333,28.7,20.6,14.5,0,0,2.04,88.71,56.7,90.17,96.24,5.2,3217.7,3.31,4142.56,2.6500000000000057,24.871277617675315,35.980000000000004,21.47,8.810000000000002,0,0
Bemidji,MN,1,11245,0.53,89.16,1.17,0.52,0,17390,0.55,42.82,11.21,14.43,8483,29.99,23.06,25.28,9.08,52.44,6.89,36.54,10.94,11.64,58.59,68.94,402,4.7,69.9,0.98,1.18,0.39,5.23,2.35,2.12,2.94,55.64,2,333,92.45,3.9,42.64,1958,7.45,0.82,43200,28900,160,332,32.2,23.2,12.9,2,0,1.74,73.75,42.22,60.34,89.02,11.5,974.2,0.38,8490.87,10.840000000000003,75.50795909,41.41,41.23,7.549999999999997,2,0.02
Springfield,MO,1,140494,2.51,95.65,0.9,0.95,100,21577,1,41.15,7.12,14.09,11878,17.78,23.03,20.66,5.72,59.02,14.31,26.83,14.72,14.46,71.94,70.52,1511,1.58,45.48,0.45,0.57,0.6,3.08,2.28,2.16,2.11,53.19,2,5119,91.81,2.09,26.22,1966,6.13,0.31,53900,35400,134,340,26.4,17.3,11.7,327,4,1.49,64.35,42.29,70.61,85.66,70.4,1995.7,0.97,5091.64,4.349999999999994,3.624097826,28.060000000000002,40.92,8.189999999999998,331,0.24
Norwood,MA,1,28700,1.6,96.57,1.47,1.1,100,42805,0.39,47.7,5.41,17.23,18193,4.01,13.89,27.01,4.85,65.42,14.02,27.17,8.5,9.06,79.53,72.81,263,1.18,27.76,1.49,2.2,0.6,5.08,2.55,2.09,1.47,47.35,3,566,95.11,1.41,34.45,1956,0.69,0.28,179000,60400,361,736,24.4,20.8,12.5,0,0,9.19,77.3,63.45,82.23,93.53,10.9,2643.5,9.62,974.19,3.430000000000007,3.394390243902439,20.47,25.67,4.890000000000001,0,0
Anderson,IN,1,59459,14.2,84.87,0.4,0.63,100,23221,0.67,35.74,8.81,22.59,12161,17.98,28.67,12,8.19,56.59,27,21.54,21.92,16.33,62.56,72.44,2368,4.66,33.08,0.2,0.25,0.28,3.85,2.36,2.27,1.9,56.3,2,2051,92.22,6.39,56.36,1954,8.42,0.49,37000,26100,139,338,26.3,15.1,12.2,21,0,0.87,73.7,54.85,85.55,91.51,39.2,1515.3,0.7,3691.79,15.129999999999995,6.208967523839957,37.44,28.63,7.780000000000001,21,0.04
Fargo,ND,1,74111,0.35,97.11,1.25,0.73,100,25326,2.93,47.11,4.21,10.31,13554,13.68,11.27,30.24,4.18,68.51,6.89,31.55,11.37,9.94,79.35,78.51,751,1.64,53.93,0.67,0.93,0.43,2.59,2.32,1.91,1.67,59.32,2,1562,95.07,0.45,25.61,1971,2.66,0.19,70300,39200,146,355,25.2,20.7,12.8,125,15,1.99,58.82,40.72,67.97,81.39,30.9,2399.3,1.41,3946.71,2.8900000000000006,5.325403786212573,20.650000000000006,44.16,4.930000000000007,140,0.19
Waco,TX,1,103590,23.14,67.6,0.92,16.35,100,17852,0.86,30.98,9.06,13.99,10195,28.68,31.62,17.02,8.39,51.37,15.73,29.06,16.43,14.66,61.65,69.23,3537,4.71,49.82,1.07,1.63,2.51,6.7,2.45,2.44,6.14,59.96,2,5606,87.57,5.64,37.57,1960,11.74,0.33,43100,38800,177,353,29.6,19.4,13,43,4,4.63,75.59,42.33,74.05,92.12,78.5,1319.3,0.76,5673.63,32.400000000000006,5.477005502461628,38.35,36.01,12.430000000000007,47,0.05
